キャベツは炒めて食べるのはもちろん、生で食べても美味しいです。,Cabbage tastes good raw or sauteed in a pan.
あの店は、味が悪いばかりか、店員の態度も酷い。,"That restaurant's service is terrible, let alone its food."
私は、漢字ばかりか、まだひらがなも書けません。,"I can't write hiragana, let alone kanji."
試験問題は昨年に比べて優しくなった。,"Compared to last year, the questions this year are easier."
店で買うのに比べ、通信販売は便利だが、欠点もある。,"Ordering from a catalogue is more convenient than shopping in a store, but there are drawbacks."
田中先生は、生徒に対して厳しい。,Tanaka-sensei is a strict techer.
真面目な長男に対して、次男は遊んでばかりで学校もよく休む。,"Contrary to my hardworking eldest son, my second son plays around and often plays hooky."
やっとレポートを書き上げた。,I finally finished my paper.
ケーキが焼き上がりましたよ。,The pastry is just out of the oven.
ご飯の量が多くて、食べきれないよ。,I can't finish the rice because there is so much.
長い小説を、2日間で読み切った。,I finished reading a long novel in two days.
疲れ切った様子,very tired condition
この本はまだ読みかけだ。,I haven't finished the book.
お風呂に入りかけた時に電話が鳴った。,The phone rang when I was about to get in the bath.
焼きたてのパンは美味しい。,Freshly baked bread is really good.
あのスーパーは、取り立ての新鮮な野菜を売っている。,That grocery store sells very fresh vegetables.
もっと日本語が上手く話せたらいいなあ。,I wish I could speak Japanese better.
明日、雨が降らないといいなあ。,I hope it won't rain tomorrow.
遅刻してしまった。もっと早く家を出ればよかった。,I am late. I wish I had left home much earlier.
田中さんにあんなことを言わなければよかった。,I should not have siad such a thing to Tanaka-san.
パーティー、楽しかったよ。君も行けばよかったのに。,I had a good time at the party. You should have come.
安かったら買うのに。,I could buy it if it were cheap.
バス、早く来ないかなあ。,I hope the bus will come soon.
この実験、上手くいくかな。,I wonder if the lab experiment will go well.
今日、富士山が見えるかなあ。,I wonder if we could see Mount Fuji today.
映画が始まるまで30分あります。,The movie won't start for half an hour.
連絡があるまで待っています。,I will wait until I hear from you.
この魚は骨まで食べられますよ。,You can even eat the bones in this fish.
あなたまで私を疑うのですか。,Even you don't trust me?
明日は昼から夕方にかけて雨でしょう。,"Tomorrow, it will rain from noon through late afternoon."
九州から本州にかけて梅雨入りしました。,The rainy season has set in Kyushu and Honshu.
大阪において、国際会議が行われた。,An international conference took place in Osaka.
結果はホームページにおいて発表されます。,The result will be announced on the homepage.
たとえ反対されても留学します。,"Even if I am opposed, I will study abroad."
たとえ元気じゃなくても、家族への手紙には元気だと書きます。,"Even if I am not well, in a letter to my family, I will write that I am well."
もしかすると彼の話は嘘かもしれない。,He could be telling a lie.
もしかしたら、明日行けないかもしれません。,I may not be able to come tomorrow.
お金持ちが必ずしも幸福だとは限らない。,Being rich does not necessary mean happy.
高いものが必ずしもいいものだとは限らない。,Expensive items are not necessarily good.
合格した！まるで夢のようだ。,I did it! I can't believe it!
彼の日本語はまるで日本人が話しているみたいに聞こえる。,His Japanese is so natural that he sounds like a native speaker.
あなたの言うことはまるで理解できない。,I don't at all understand what you are saying.
旅行に行きたい。だけど暇がない。,I love to go traveling but I have no time.
よくカラオケに行く。だけど歌は下手だ。,I often go to a karaoke bar but I am not a good singer.
天気予報では午後から雨だそうです。ですから、傘を持っていった方がいいですよ。,You'd better take an umbrella with you since the weather forecast is predicting rain in the afternoon.
明日から旅行に行きます。ですから、申し訳ありませんが、来週のパーティーには出席できません。,I will be leaving on a trip tomorrow. Thus I'm sorry that I won't be able to come to the party next week.
昨夜はコンサートに行くつもりだった。ところが病気で行けなくなった。,I was planning to go to the concert last night but I couldn't go because I felt sick.
田中さんは私より若いと思っていた。ところが私より5歳も年上だった。,I thought Tanaka-san was younger but he is actually 5 years older than I am.
明日、試験でしょ。頑張ってね。ところで、来週の月曜日は空いてる？,"The exam will be tomorrow, right? I wish you well. By the way, will you be free next Monday?"
もうすぐ、今年も終わりですね。ところで、お正月はどうなさいますか。,"The year is to be over soon. Well, do you have any plans for the New Year?"
もし試験を受けていたなら、合格していたと思う。,I would have passed the exam if I had taken it.
もし彼が社長でなかったなら、会社は潰れていたと思う。,"If he had not been the president, the company would have gone bankrupt."
もし、留学しなかったなら、今頃は国で結婚しているだろう。,"If I had not gone to study abroad, I probably would be married by now."
もし休みが取れたとしても、旅行には行かないつもりです。,"Even if I get a holiday, I don't think I will go on a trip."
もしお金がたくさあったとしても、そんなものは買わない。,"Even if I had lots of money, I wouldn't buy such things."
もし決勝戦に残ったとしたって、優勝は難しいでしょう。,"Even though they made to the final, it will be difficult to win the championship."
もしも生まれ変われるなら、男になりたい。,"If I were born again, I'd like to be a boy."
もしも地震が起きても、この家、丈夫だから倒れないでしょう。,This house won't collapse in a big earthquake because it is well built.
あの子にもしものことがあったら、どうしよう。,What shall I do if something happens to that child?
明日、新しい企画についての会議が行われることになっている。,There is a meeting planned for tomorrow to discuss a new project.
今度、大阪に転勤することになりました。,I will be moving to Osaka office soon.
毎朝、30分ジョギングすることにしています。,I try to jog for half an hour every morning.
「あれ？買い物に行かないの？」「うん、明日行くことにした。」,"""Oh. You are not going shopping?"" ""No. I will go tomorrow instead."""
ピアノは、弾けることは弾けますが、上手くありません。,I can play the piano but not that well.
このバッグ、高いことは高いけれど、すごく使いやすいです。,You may think this bag is expensive but it is very well designed.
鶏肉は、食べないことはないですが、あまり好きではありません。,I eat chicken but I don't like it very much.
走れば間に合わないことはないよ。急ごう！,We can still make it if we run. Let's hurry up!
先生に今度のテストの範囲を聞いたところ、10課までだと言われた。,I asked the teacher about the coming test and was told that it would cover up to Chapter 10.
歯が痛いので歯医者さんにいったところ、ひどい虫歯になっていると言われた。,"I went to see a dentist because I had a toothache, and I was told I had a bad cavity."
もう少しで遅刻するところだった。,I was almost late.
あと少しで合格するところだったのに…。,I almost passed the entrance exam.
先生に注意されて初めて、漢字の間違いに気が付いた。,I didn't notice the mistake in kanji until the teacher pointed it out.
歌舞伎を見てはじめて、日本文化に興味を持った。,I didn't have any interest in Japanese culture until I saw kabuki.
明るいうちに帰ってきなさい。,You must come home before dark.
何度も聞いているうちに歌詞を覚えた。,I learned the lyrics by heart by listening to them many times.
忘れないうちに、メモをしておこう。,I will make a quick note before I forget.
暑いわけだ。気温が36度もある。,No wonder it feels hot. It is 36C.
「田中さん、彼女に振られたらしいよ。」「なるほど、それで、元気がないわけだ。」,"""It looks like Tanaka-san got dumped by his girlfriend."" ""No wonder he looks unhappy."""
嫌いなわけではないが、肉はあまり食べない。,"It's not that I hate it, but I don't eat very much meat."
テレビは見ないわけではないが、音楽を聴いている方が多い。,I wouldn't say I don't watch TV but I spend more time listening to music.
あの強い相手に勝てるわけはない。,It's impossible for me to beat such a strong opponent.
「このパン、古くない？」「古い訳ないよ。昨日買ったんだから。」,"""Isn't this bread too old?"" ""It shouldn't be old. I just bought it yesterday."""
大事な会議があるから、休むわけにはいかない。,I can't afford to be absent because I have a very important meeting.
社長の命令だから、従わないわけにはいかない。,I can't afford to disobey this order because it came from the president.
